	E12_1_week_IP_vs_naive_adult_3_IP.enrichment	E12_1_week_IP_vs_naive_adult_3_IP.p	E12_1_week_IP_vs_naive_adult_3_IP.FDR	E12_1_week_IP_vs_naive_adult_3_IP.nonNull	E12_1_week_IP_vs_naive_adult_3_IP.instanceCount	E12_1_week_IP_vs_naive_adult_3_IP.specificity	E12_1_week_IP_vs_naive_adult_3_IP.reliable	E12_2_week_IP_vs_naive_adult_3_IP.enrichment	E12_2_week_IP_vs_naive_adult_3_IP.p	E12_2_week_IP_vs_naive_adult_3_IP.FDR	E12_2_week_IP_vs_naive_adult_3_IP.nonNull	E12_2_week_IP_vs_naive_adult_3_IP.instanceCount	E12_2_week_IP_vs_naive_adult_3_IP.specificity	E12_2_week_IP_vs_naive_adult_3_IP.reliable	E12_3_day_IP_vs_naive_adult_3_IP.enrichment	E12_3_day_IP_vs_naive_adult_3_IP.p	E12_3_day_IP_vs_naive_adult_3_IP.FDR	E12_3_day_IP_vs_naive_adult_3_IP.nonNull	E12_3_day_IP_vs_naive_adult_3_IP.instanceCount	E12_3_day_IP_vs_naive_adult_3_IP.specificity	E12_3_day_IP_vs_naive_adult_3_IP.reliable	naive_1_week_IP_vs_naive_adult_3_IP.enrichment	naive_1_week_IP_vs_naive_adult_3_IP.p	naive_1_week_IP_vs_naive_adult_3_IP.FDR	naive_1_week_IP_vs_naive_adult_3_IP.nonNull	naive_1_week_IP_vs_naive_adult_3_IP.instanceCount	naive_1_week_IP_vs_naive_adult_3_IP.specificity	naive_1_week_IP_vs_naive_adult_3_IP.reliable	naive_2_weeks_IP_vs_naive_adult_3_IP.enrichment	naive_2_weeks_IP_vs_naive_adult_3_IP.p	naive_2_weeks_IP_vs_naive_adult_3_IP.FDR	naive_2_weeks_IP_vs_naive_adult_3_IP.nonNull	naive_2_weeks_IP_vs_naive_adult_3_IP.instanceCount	naive_2_weeks_IP_vs_naive_adult_3_IP.specificity	naive_2_weeks_IP_vs_naive_adult_3_IP.reliable	naive_3_days_IP_vs_naive_adult_3_IP.enrichment	naive_3_days_IP_vs_naive_adult_3_IP.p	naive_3_days_IP_vs_naive_adult_3_IP.FDR	naive_3_days_IP_vs_naive_adult_3_IP.nonNull	naive_3_days_IP_vs_naive_adult_3_IP.instanceCount	naive_3_days_IP_vs_naive_adult_3_IP.specificity	naive_3_days_IP_vs_naive_adult_3_IP.reliable
metformin	-0.225081967213115	0.61289	0.84272375	0.4	10	0.688741721854305	FALSE	-0.347049180327869	0.1399	0.447748410757946	0.3	10	0.172185430463576	FALSE	-0.174426229508197	0.87309	0.962081944444444	0.4	10	0.907284768211921	FALSE	-0.192622950819672	0.78718	0.936783535811423	0.4	10	0.794701986754967	FALSE	-0.459344262295082	0.01901	0.246377128712871	0.7	10	0.0264900662251656	TRUE	-0.28327868852459	0.33339	0.784816666666667	0.5	10	0.403973509933775	FALSE
phenformin	-0.264941451990632	0.61716	0.845929256544503	0.285714285714286	7	0.642857142857143	FALSE	0.26288056206089	0.6267	0.836238837920489	0.285714285714286	7	0.63953488372093	FALSE	0.452552693208431	0.0792	0.484452336448598	0.571428571428571	7	0.0348837209302326	TRUE	-0.240421545667447	0.73003	0.9222591626564	0.285714285714286	7	0.735714285714286	FALSE	-0.290655737704918	0.50513	0.888227679045093	0.142857142857143	7	0.535714285714286	FALSE	0.4396018735363	0.09492	0.547358061674009	0.142857142857143	7	0.0581395348837209	FALSE
phenyl biguanide	-0.625409836065574	1e-05	0.000251730769230769	0	1	0.796610169491525	FALSE	-0.582622950819672	1e-05	0.000256666666666667	0	1	0.88135593220339	FALSE	0.594754098360656	1e-05	0.0002618	0	1	0.77319587628866	FALSE	-0.795901639344262	1e-05	0.00023375	1	1	0.415254237288136	FALSE	-0.947704918032787	1e-05	0.000242407407407407	1	1	0.0932203389830508	FALSE	-0.507868852459016	1e-05	0.000246981132075472	0	1	0.974576271186441	FALSE
valproic acid	0.21735691688237	0.00712	0.0839646846846847	0.614035087719298	57	0.223684210526316	TRUE	0.262274949669255	0.00038	0.00829033333333333	0.56140350877193	57	0.0921052631578947	TRUE	0.194538395168249	0.0228	0.244632786885246	0.421052631578947	57	0.355263157894737	FALSE	0.274843255680184	0.00013	0.00283616666666667	0.631578947368421	57	0.0723684210526316	TRUE	-0.154659188955997	0.11497	0.605083935742972	0.421052631578947	57	0.55625	FALSE	-0.130140926085706	0.25959	0.764279325153374	0.245614035087719	57	0.6875	FALSE
estradiol	-0.286854231280461	0.00332	0.0483215957446808	0.432432432432432	37	0.137254901960784	FALSE	-0.267337173238813	0.00768	0.0966646153846154	0.432432432432432	37	0.215686274509804	FALSE	-0.327487815684537	0.00039	0.009282	0.459459459459459	37	0.0588235294117647	FALSE	-0.26514842711564	0.00843	0.107134660194175	0.432432432432432	37	0.215686274509804	FALSE	0.149087284005317	0.34607	0.809421542553191	0.324324324324324	37	0.779874213836478	FALSE	-0.13024368630926	0.51335	0.869868503225806	0.216216216216216	37	0.882352941176471	FALSE
alpha-estradiol	0.469303278688525	0.00089	0.01820328125	0.875	16	0.0232558139534884	TRUE	0.482745901639344	6e-04	0.012271875	0.9375	16	0.0232558139534884	TRUE	0.247418032786885	0.23698	0.681404127659574	0.5625	16	0.612403100775194	TRUE	0.404959016393443	0.00655	0.089470824742268	0.8125	16	0.0852713178294574	TRUE	-0.211680327868852	0.41247	0.851489039370079	0.3125	16	0.759562841530055	FALSE	0.311106557377049	0.06994	0.487789015544041	0.375	16	0.348837209302326	FALSE
dexamethasone	-0.344098360655738	0.23739	0.597968187022901	0.5	8	0.239130434782609	FALSE	-0.399918032786885	0.11592	0.413224266304348	0.375	8	0.115942028985507	FALSE	-0.232459016393443	0.69899	0.926475275827482	0.25	8	0.710144927536232	FALSE	-0.420983606557377	0.08512	0.411151586715867	0.625	8	0.0797101449275362	TRUE	-0.373606557377049	0.1648	0.668842438271605	0.375	8	0.144927536231884	FALSE	-0.45155737704918	0.05343	0.446310636942675	0.625	8	0.036231884057971	TRUE
mesalazine	0.314262295081967	0.606	0.837456223628692	0.4	5	0.472	FALSE	0.222622950819672	0.91664	0.962586995192308	0.4	5	0.856	FALSE	-0.227213114754098	0.90617	0.974180008156607	0.2	5	0.93048128342246	FALSE	-0.226065573770492	0.90867	0.969288916938111	0.4	5	0.935828877005348	FALSE	0.335737704918033	0.52252	0.891758383311604	0.2	5	0.328	FALSE	-0.430163934426229	0.23468	0.762273250620347	0.6	5	0.262032085561497	TRUE
chlorpropamide	-0.215792349726776	0.89146	0.962713924154988	0.333333333333333	6	0.901098901098901	FALSE	-0.345737704918033	0.37981	0.702348757062147	0.5	6	0.39010989010989	FALSE	0.26103825136612	0.723	0.928094197983501	0.333333333333333	6	0.738461538461539	FALSE	-0.381639344262295	0.27082	0.661826492537313	0.333333333333333	6	0.296703296703297	FALSE	-0.287213114754098	0.60855	0.917842643020595	0.5	6	0.675824175824176	FALSE	0.195355191256831	0.94207	0.983433	0.333333333333333	6	0.930769230769231	FALSE
tolbutamide	-0.272903981264637	0.58038	0.822828333333333	0.428571428571429	7	0.509090909090909	FALSE	-0.311639344262295	0.41928	0.726261558784676	0.285714285714286	7	0.363636363636364	FALSE	-0.426651053864169	0.11243	0.52561025	0.428571428571429	7	0.109090909090909	FALSE	0.22655737704918	0.7909	0.937244	0.428571428571429	7	0.768707482993197	FALSE	0.27344262295082	0.57798	0.911931409638554	0.428571428571429	7	0.564625850340136	FALSE	0.287096018735363	0.52074	0.875030372272144	0.428571428571429	7	0.510204081632653	FALSE
