	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
metformin	-0.347049180327869	0.1399	0.447748410757946	0.3	10	0.172185430463576	FALSE
phenformin	0.26288056206089	0.6267	0.836238837920489	0.285714285714286	7	0.63953488372093	FALSE
phenyl biguanide	-0.582622950819672	1e-05	0.000256666666666667	0	1	0.88135593220339	FALSE
valproic acid	0.262274949669255	0.00038	0.00829033333333333	0.56140350877193	57	0.0921052631578947	TRUE
estradiol	-0.267337173238813	0.00768	0.0966646153846154	0.432432432432432	37	0.215686274509804	FALSE
alpha-estradiol	0.482745901639344	6e-04	0.012271875	0.9375	16	0.0232558139534884	TRUE
dexamethasone	-0.399918032786885	0.11592	0.413224266304348	0.375	8	0.115942028985507	FALSE
mesalazine	0.222622950819672	0.91664	0.962586995192308	0.4	5	0.856	FALSE
chlorpropamide	-0.345737704918033	0.37981	0.702348757062147	0.5	6	0.39010989010989	FALSE
tolbutamide	-0.311639344262295	0.41928	0.726261558784676	0.285714285714286	7	0.363636363636364	FALSE
tamoxifen	-0.183700234192037	0.93922	0.975745222222222	0.571428571428571	7	0.952380952380952	TRUE
verapamil	-0.231693989071038	0.83955	0.930575969517358	0.5	6	0.84375	FALSE
dexverapamil	0.978524590163934	1e-05	0.000256666666666667	1	1	0.0642201834862385	FALSE
exemestane	0.841803278688525	1e-05	0.000256666666666667	1	1	0.333333333333333	FALSE
rofecoxib	-0.236939890710383	0.82015	0.927242245250432	0.666666666666667	6	0.84	TRUE
amitriptyline	-0.349398907103825	0.3673	0.6987068	0.333333333333333	6	0.509433962264151	FALSE
sulindac	-0.347564402810304	0.2929	0.633279967051071	0.428571428571429	7	0.387596899224806	FALSE
tacrolimus	-0.625245901639344	0.11073	0.40715047752809	0.666666666666667	3	0.187096774193548	TRUE
15-delta prostaglandin J2	-0.250928961748634	0.25675	0.596876538461538	0.333333333333333	15	0.654135338345865	FALSE
raloxifene	-0.245737704918033	0.70642	0.877911774193548	0.428571428571429	7	0.797385620915033	FALSE
nordihydroguaiaretic acid	0.226010928961749	0.37161	0.6987068	0.666666666666667	15	0.564516129032258	TRUE
