	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
metformin	-0.174426229508197	0.87309	0.962081944444444	0.4	10	0.907284768211921	FALSE
phenformin	0.452552693208431	0.0792	0.484452336448598	0.571428571428571	7	0.0348837209302326	TRUE
phenyl biguanide	0.594754098360656	1e-05	0.0002618	0	1	0.77319587628866	FALSE
valproic acid	0.194538395168249	0.0228	0.244632786885246	0.421052631578947	57	0.355263157894737	FALSE
estradiol	-0.327487815684537	0.00039	0.009282	0.459459459459459	37	0.0588235294117647	FALSE
alpha-estradiol	0.247418032786885	0.23698	0.681404127659574	0.5625	16	0.612403100775194	TRUE
dexamethasone	-0.232459016393443	0.69899	0.926475275827482	0.25	8	0.710144927536232	FALSE
mesalazine	-0.227213114754098	0.90617	0.974180008156607	0.2	5	0.93048128342246	FALSE
chlorpropamide	0.26103825136612	0.723	0.928094197983501	0.333333333333333	6	0.738461538461539	FALSE
tolbutamide	-0.426651053864169	0.11243	0.52561025	0.428571428571429	7	0.109090909090909	FALSE
tamoxifen	0.400819672131148	0.1557	0.5642725	0.142857142857143	7	0.17741935483871	FALSE
verapamil	0.291967213114754	0.58729	0.885796697247706	0.333333333333333	6	0.532894736842105	FALSE
dexverapamil	0.954426229508197	1e-05	0.0002618	1	1	0.137614678899083	FALSE
exemestane	-0.588196721311475	1e-05	0.0002618	0	1	0.793103448275862	FALSE
rofecoxib	0.20431693989071	0.92227	0.976099183508488	0.333333333333333	6	0.89051094890511	FALSE
amitriptyline	-0.452622950819672	0.12072	0.538449639344262	0.333333333333333	6	0.216981132075472	FALSE
sulindac	0.261475409836066	0.6331	0.900065	0.285714285714286	7	0.688524590163934	FALSE
tacrolimus	-0.486338797814208	0.36532	0.777274440842788	0.666666666666667	3	0.483870967741935	TRUE
15-delta prostaglandin J2	-0.245573770491803	0.27909	0.720724556213018	0.333333333333333	15	0.699248120300752	FALSE
raloxifene	-0.240983606557377	0.72724	0.928094197983501	0.285714285714286	7	0.797385620915033	FALSE
nordihydroguaiaretic acid	-0.214808743169399	0.43387	0.829103401459854	0.333333333333333	15	0.492063492063492	FALSE
sulfasalazine	0.483606557377049	0.13392	0.551261886792453	0.8	5	0.0310077519379845	TRUE
celecoxib	-0.515737704918033	0.09155	0.50141820083682	0.6	5	0.128787878787879	TRUE
LM-1685	0.455901639344262	0.44214	0.837570564399421	0.666666666666667	3	0.413978494623656	TRUE
SC-58125	0.330327868852459	0.66974	0.917999643979058	0.25	4	0.606936416184971	FALSE
tanespimycin	0.255991538868324	0.00038	0.00921148148148148	0.612903225806452	62	0.50259067357513	TRUE
tomelukast	-0.892622950819672	1e-05	0.0002618	1	1	0.1953125	FALSE
TTNPB	-0.458196721311475	0.65489	0.905449260823654	0.5	2	0.675496688741722	FALSE
tretinoin	0.353994038748137	0.00542	0.0933523684210526	0.727272727272727	22	0.159090909090909	TRUE
LY-294002	0.178032786885246	0.03557	0.32111124137931	0.508196721311475	61	0.706666666666667	TRUE
ciclosporin	-0.405355191256831	0.2115	0.64414976744186	0.166666666666667	6	0.326666666666667	FALSE
indometacin	-0.182622950819672	0.91065	0.974180008156607	0.5	8	0.951086956521739	FALSE
clofibrate	0.561967213114754	0.38359	0.789598679245283	0.5	2	0.345454545454545	FALSE
MK-886	-0.399180327868852	0.8238	0.94369394575678	0	2	0.766666666666667	FALSE
prednisolone	0.340327868852459	0.50487	0.853037275064267	0.6	5	0.397350993377483	TRUE
thalidomide	0.437002341920375	0.0985	0.504748378378378	0.714285714285714	7	0.0634920634920635	TRUE
genistein	-0.588833172613308	1e-05	0.0002618	0.705882352941177	17	0	TRUE
fludrocortisone	-0.592786885245902	0.00334	0.064295	0.75	8	0.126760563380282	TRUE
quercetin	-0.27983606557377	0.64108	0.901493507462686	0.333333333333333	6	0.571428571428571	FALSE
sulindac sulfide	-0.962459016393443	1e-05	0.0002618	1	1	0.0719424460431655	FALSE
exisulind	-0.381967213114754	0.86201	0.958514694397284	0.5	2	0.827586206896552	FALSE
fulvestrant	0.262131147540984	0.00651	0.106519875	0.525	40	0.161849710982659	TRUE
monastrol	-0.314590163934426	0.3338	0.759548894472362	0.375	8	0.450331125827815	FALSE
staurosporine	-0.704262295081967	0.01538	0.188642803738318	0.25	4	0.0136986301369863	FALSE
NU-1025	-0.370327868852459	0.88538	0.967394633333333	0.5	2	0.919354838709677	FALSE
acetylsalicylic acid	-0.238663303909205	0.38793	0.791210981308411	0.384615384615385	13	0.636363636363636	FALSE
flufenamic acid	0.242131147540984	0.80045	0.938007388193202	0.5	6	0.824817518248175	FALSE
N-phenylanthranilic acid	-0.648360655737705	1e-05	0.0002618	0	1	0.552795031055901	FALSE
monorden	0.337153502235469	0.00915	0.133081666666667	0.590909090909091	22	0.155080213903743	TRUE
sirolimus	0.301833084947839	0.00042	0.0098175	0.613636363636364	44	0.319277108433735	TRUE
arachidonyltrifluoromethane	-0.844918032786885	0.04756	0.375792083333333	1	2	0.0849673202614379	TRUE
trichostatin A	0.493658800216177	0	0	0.593406593406593	182	0.280952380952381	TRUE
diclofenac	-0.315245901639344	0.6022	0.8957725	0.2	5	0.641304347826087	FALSE
mercaptopurine	-0.750819672131148	0.12434	0.538449639344262	0.5	2	0.0753424657534247	FALSE
nifedipine	-0.240281030444965	0.73054	0.928094197983501	0.428571428571429	7	0.725	FALSE
nitrendipine	-0.261311475409836	0.80733	0.941885	0.4	5	0.760736196319018	FALSE
felodipine	0.461639344262295	0.06941	0.445380833333333	0.714285714285714	7	0.212871287128713	TRUE
azathioprine	0.343770491803279	0.3052	0.7361921875	0.428571428571429	7	0.279503105590062	FALSE
sodium phenylbutyrate	-0.292295081967213	0.49841	0.853037275064267	0.428571428571429	7	0.594771241830065	FALSE
novobiocin	-0.357049180327869	0.15517	0.5642725	0.444444444444444	9	0.214285714285714	FALSE
fasudil	-0.776885245901639	0.09987	0.504748378378378	0.5	2	0.0395480225988701	FALSE
2-deoxy-D-glucose	-0.80344262295082	1e-05	0.0002618	1	1	0.557377049180328	FALSE
imatinib	0.491475409836066	0.53419	0.871888665835412	0	2	0.703703703703704	FALSE
pirinixic acid	0.34655737704918	0.48074	0.846977322623829	0.6	5	0.353846153846154	TRUE
rosiglitazone	-0.380351288056206	0.02451	0.255982222222222	0.428571428571429	14	0.0993788819875776	FALSE
troglitazone	-0.367868852459016	0.01834	0.206957413793103	0.3125	16	0.0208333333333333	FALSE
cobalt chloride	-0.473387978142077	0.39702	0.7995372	0.666666666666667	3	0.409448818897638	TRUE
wortmannin	0.471967213114754	0.00033	0.00815037735849057	0.611111111111111	18	0.154838709677419	TRUE
tetraethylenepentamine	-0.522021857923497	0.04797	0.375792083333333	0.5	6	0.0342857142857143	FALSE
clozapine	0.214108003857281	0.36405	0.777274440842788	0.470588235294118	17	0.497109826589595	FALSE
thioridazine	0.435409836065574	0.00058	0.01309	0.8	20	0.392694063926941	TRUE
haloperidol	-0.120102459016393	0.69813	0.926475275827482	0.28125	32	0.815126050420168	FALSE
chlorpromazine	0.270914581535807	0.10216	0.510410076335878	0.578947368421053	19	0.32258064516129	TRUE
trifluoperazine	0.394303278688525	0.00908	0.133081666666667	0.625	16	0.432692307692308	TRUE
iloprost	-0.552896174863388	0.21997	0.660414518348624	0.666666666666667	3	0.325	TRUE
copper sulfate	-0.483114754098361	0.21736	0.657099861431871	0.25	4	0.191176470588235	FALSE
oxamic acid	0.687377049180328	1e-05	0.0002618	1	1	0.623376623376623	FALSE
W-13	0.605409836065574	0.30982	0.737173684210526	0	2	0.376543209876543	FALSE
arachidonic acid	0.299945355191257	0.88633	0.967394633333333	0.666666666666667	3	0.903846153846154	TRUE
oligomycin	0.590327868852459	1e-05	0.0002618	0	1	0.786163522012579	FALSE
prochlorperazine	0.515	0.00017	0.00436333333333333	0.875	16	0.131067961165049	TRUE
quinpirole	-0.385737704918033	0.48173	0.846977322623829	0.25	4	0.637037037037037	FALSE
