	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
metformin	-0.192622950819672	0.78718	0.936783535811423	0.4	10	0.794701986754967	FALSE
phenformin	-0.240421545667447	0.73003	0.9222591626564	0.285714285714286	7	0.735714285714286	FALSE
phenyl biguanide	-0.795901639344262	1e-05	0.00023375	1	1	0.415254237288136	FALSE
valproic acid	0.274843255680184	0.00013	0.00283616666666667	0.631578947368421	57	0.0723684210526316	TRUE
estradiol	-0.26514842711564	0.00843	0.107134660194175	0.432432432432432	37	0.215686274509804	FALSE
alpha-estradiol	0.404959016393443	0.00655	0.089470824742268	0.8125	16	0.0852713178294574	TRUE
dexamethasone	-0.420983606557377	0.08512	0.411151586715867	0.625	8	0.0797101449275362	TRUE
mesalazine	-0.226065573770492	0.90867	0.969288916938111	0.4	5	0.935828877005348	FALSE
chlorpropamide	-0.381639344262295	0.27082	0.661826492537313	0.333333333333333	6	0.296703296703297	FALSE
tolbutamide	0.22655737704918	0.7909	0.937244	0.428571428571429	7	0.768707482993197	FALSE
tamoxifen	-0.249110070257611	0.69115	0.909432683417085	0.285714285714286	7	0.698412698412698	FALSE
verapamil	-0.367704918032787	0.30989	0.6889675	0.5	6	0.24375	FALSE
dexverapamil	0.656885245901639	1e-05	0.00023375	1	1	0.706422018348624	FALSE
exemestane	0.721311475409836	1e-05	0.00023375	1	1	0.557971014492754	FALSE
rofecoxib	0.338360655737705	0.4051	0.756311111111111	0.333333333333333	6	0.357664233576642	FALSE
amitriptyline	-0.470437158469945	0.09642	0.433724329896907	0.666666666666667	6	0.188679245283019	TRUE
sulindac	-0.411826697892272	0.13638	0.507163125	0.428571428571429	7	0.201550387596899	FALSE
tacrolimus	-0.669672131147541	0.07173	0.382696260162602	0.333333333333333	3	0.161290322580645	FALSE
15-delta prostaglandin J2	-0.361967213114754	0.02874	0.224322083333333	0.266666666666667	15	0.285714285714286	FALSE
raloxifene	-0.218126463700234	0.82624	0.947381592300962	0.428571428571429	7	0.92156862745098	FALSE
nordihydroguaiaretic acid	0.352349726775956	0.03585	0.25323579787234	0.733333333333333	15	0.0913978494623656	TRUE
sulfasalazine	0.180819672131148	0.98603	0.996689783783784	0.4	5	0.984496124031008	FALSE
celecoxib	-0.611967213114754	0.02475	0.210375	0.4	5	0.0227272727272727	FALSE
LM-1685	0.566229508196721	0.19606	0.579328532731377	1	3	0.166666666666667	TRUE
SC-58125	-0.252786885245902	0.89894	0.966896023007395	0.5	4	0.913669064748201	FALSE
tanespimycin	0.273405605499736	9e-05	0.00199677966101695	0.67741935483871	62	0.450777202072539	TRUE
tomelukast	0.580819672131148	1e-05	0.00023375	1	1	0.809782608695652	FALSE
TTNPB	0.38016393442623	0.86574	0.956341946082561	0.5	2	0.900621118012422	FALSE
tretinoin	0.327973174366617	0.01238	0.143410796460177	0.727272727272727	22	0.232954545454545	TRUE
LY-294002	0.178524590163935	0.03452	0.248278461538462	0.491803278688525	61	0.7	FALSE
ciclosporin	-0.390437158469945	0.24786	0.639938343195266	0.5	6	0.353333333333333	FALSE
indometacin	-0.422049180327869	0.08382	0.409795149253731	0.25	8	0.0760869565217391	FALSE
clofibrate	-0.604262295081967	0.31169	0.6889675	0.5	2	0.183673469387755	FALSE
MK-886	-0.294098360655738	0.98505	0.996689783783784	0.5	2	0.98	FALSE
prednisolone	-0.330491803278688	0.54337	0.837775418138987	0.2	5	0.490683229813665	FALSE
thalidomide	0.338384074941452	0.32281	0.6889675	0.714285714285714	7	0.285714285714286	TRUE
genistein	-0.235612343297975	0.25788	0.647567055449331	0.411764705882353	17	0.635714285714286	FALSE
fludrocortisone	-0.660901639344262	7e-04	0.0140969230769231	0.875	8	0.0352112676056338	TRUE
quercetin	-0.299125683060109	0.55608	0.84440336416185	0.333333333333333	6	0.515873015873016	FALSE
sulindac sulfide	0.615901639344262	1e-05	0.00023375	1	1	0.716763005780347	FALSE
exisulind	-0.431803278688525	0.73834	0.924817128060264	0.5	2	0.660919540229885	FALSE
fulvestrant	0.248688524590164	0.01144	0.133705	0.575	40	0.202312138728324	TRUE
monastrol	0.215737704918033	0.78089	0.93522241537054	0.5	8	0.863354037267081	FALSE
staurosporine	0.297540983606557	0.77655	0.935015454545454	0.5	4	0.783132530120482	FALSE
NU-1025	-0.497704918032787	0.50894	0.829641917808219	0.5	2	0.553763440860215	FALSE
acetylsalicylic acid	0.192131147540984	0.65613	0.892265680412371	0.461538461538462	13	0.784	FALSE
flufenamic acid	0.215573770491803	0.8921	0.966806930041152	0.333333333333333	6	0.897810218978102	FALSE
N-phenylanthranilic acid	-0.534426229508197	1e-05	0.00023375	0	1	0.906832298136646	FALSE
monorden	0.174053651266766	0.46281	0.790905299479167	0.454545454545455	22	0.74331550802139	FALSE
sirolimus	0.25849478390462	0.00445	0.0645963043478261	0.659090909090909	44	0.427710843373494	TRUE
arachidonyltrifluoromethane	-0.787704918032787	0.09051	0.421628434163701	1	2	0.137254901960784	TRUE
trichostatin A	0.521451990632319	0	0	0.884615384615385	182	0.223809523809524	TRUE
diclofenac	0.50655737704918	0.10238	0.446451627906977	0.8	5	0.0390625	TRUE
mercaptopurine	-0.403606557377049	0.81302	0.945479307282416	0.5	2	0.835616438356164	FALSE
nifedipine	0.285925058548009	0.5255	0.832210467065868	0.714285714285714	7	0.578947368421053	TRUE
nitrendipine	0.323770491803279	0.56857	0.85058072	0.4	5	0.570469798657718	FALSE
felodipine	-0.276206088992974	0.5658	0.849348853211009	0.428571428571429	7	0.718181818181818	FALSE
azathioprine	-0.291803278688525	0.50027	0.822680188442211	0.428571428571429	7	0.470198675496689	FALSE
sodium phenylbutyrate	-0.216651053864169	0.8319	0.947845311958405	0.428571428571429	7	0.915032679738562	FALSE
novobiocin	0.416138433515483	0.06217	0.347780042735043	0.777777777777778	9	0.0769230769230769	TRUE
fasudil	0.450819672131148	0.67855	0.905342790224033	0.5	2	0.540740740740741	FALSE
2-deoxy-D-glucose	-0.962950819672131	1e-05	0.00023375	1	1	0.114754098360656	FALSE
imatinib	-0.392950819672131	0.83798	0.948068988764045	0.5	2	0.84	FALSE
pirinixic acid	-0.339508196721311	0.50783	0.828864675810474	0.4	5	0.505494505494505	FALSE
rosiglitazone	-0.21672131147541	0.45976	0.789797690288714	0.428571428571429	14	0.602484472049689	FALSE
troglitazone	-0.199139344262295	0.48719	0.812397082802548	0.3125	16	0.548611111111111	FALSE
cobalt chloride	-0.415081967213115	0.5516	0.84152394644936	0.333333333333333	3	0.590551181102362	FALSE
wortmannin	0.304772313296903	0.05567	0.335656422018349	0.444444444444444	18	0.509677419354839	FALSE
tetraethylenepentamine	-0.321803278688525	0.46375	0.790905299479167	0.5	6	0.537142857142857	FALSE
clozapine	-0.347820636451302	0.02415	0.207975986842105	0.529411764705882	17	0.0503597122302158	TRUE
thioridazine	-0.400327868852459	0.00202	0.0326441975308642	0.45	20	0.236559139784946	FALSE
haloperidol	0.121536885245902	0.68435	0.908971724137931	0.5	32	0.849740932642487	FALSE
chlorpromazine	0.331932700603969	0.0236	0.206211133333333	0.684210526315789	19	0.0903225806451613	TRUE
