	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
metformin	-0.28327868852459	0.33339	0.784816666666667	0.5	10	0.403973509933775	FALSE
phenformin	0.4396018735363	0.09492	0.547358061674009	0.142857142857143	7	0.0581395348837209	FALSE
phenyl biguanide	-0.507868852459016	1e-05	0.000246981132075472	0	1	0.974576271186441	FALSE
valproic acid	-0.130140926085706	0.25959	0.764279325153374	0.245614035087719	57	0.6875	FALSE
estradiol	-0.13024368630926	0.51335	0.869868503225806	0.216216216216216	37	0.882352941176471	FALSE
alpha-estradiol	0.311106557377049	0.06994	0.487789015544041	0.375	16	0.348837209302326	FALSE
dexamethasone	-0.45155737704918	0.05343	0.446310636942675	0.625	8	0.036231884057971	TRUE
mesalazine	-0.430163934426229	0.23468	0.762273250620347	0.6	5	0.262032085561497	TRUE
chlorpropamide	0.195355191256831	0.94207	0.983433	0.333333333333333	6	0.930769230769231	FALSE
tolbutamide	0.287096018735363	0.52074	0.875030372272144	0.428571428571429	7	0.510204081632653	FALSE
tamoxifen	0.232903981264637	0.76345	0.953153571428571	0.285714285714286	7	0.78494623655914	FALSE
verapamil	-0.414699453551913	0.19015	0.699900303030303	0.666666666666667	6	0.15	TRUE
dexverapamil	-0.567213114754098	1e-05	0.000246981132075472	0	1	0.931034482758621	FALSE
exemestane	0.805901639344262	1e-05	0.000246981132075472	1	1	0.427536231884058	FALSE
rofecoxib	-0.213387978142076	0.89814	0.97634794892916	0.333333333333333	6	0.902857142857143	FALSE
amitriptyline	0.230928961748634	0.8424	0.969590196917808	0.166666666666667	6	0.956310679611651	FALSE
sulindac	0.443957845433255	0.08972	0.530409147982063	0.714285714285714	7	0.153005464480874	TRUE
tacrolimus	0.271857923497268	0.9434	0.983433	0.333333333333333	3	1	FALSE
15-delta prostaglandin J2	0.283551912568306	0.14836	0.661712857142857	0.4	15	0.687150837988827	FALSE
raloxifene	-0.214777517564403	0.83943	0.969590196917808	0.285714285714286	7	0.92156862745098	FALSE
nordihydroguaiaretic acid	0.22224043715847	0.39204	0.822488333333333	0.466666666666667	15	0.586021505376344	FALSE
sulfasalazine	-0.258360655737705	0.81673	0.96489130866426	0.2	5	0.830601092896175	FALSE
celecoxib	-0.221639344262295	0.91869	0.978361003236246	0.4	5	0.893939393939394	FALSE
LM-1685	0.499125683060109	0.33465	0.784816666666667	0.666666666666667	3	0.32258064516129	TRUE
SC-58125	0.228196721311475	0.95614	0.987609038613081	0.5	4	0.959537572254335	FALSE
tanespimycin	0.610375462718139	0	0	0.887096774193548	62	0.0155440414507772	TRUE
tomelukast	0.763770491803279	1e-05	0.000246981132075472	1	1	0.380434782608696	FALSE
