	kUp	kDown	score	instance	ConScore
inst_1661	0.0901862934286491	-0.205379399941696	0.295565693370345	inst_1661	1
inst_1049	0.118519736755269	-0.158155046484059	0.276674783239328	inst_1049	0.936085579095451
inst_1646	0.0974897244272209	-0.178557115458123	0.276046839885344	inst_1646	0.933961031598671
inst_6971	0.123215587720526	-0.152589303643276	0.275804891363801	inst_6971	0.933142436859939
inst_7246	0.0843699364590785	-0.185108233004181	0.26947816946326	inst_7246	0.911736969167131
inst_6925	0.118732190987062	-0.146451947221935	0.265184138208997	inst_6925	0.897208790320332
inst_977	0.104490946672615	-0.159758115174301	0.264249061846916	inst_977	0.894045106634928
inst_1632	0.0900179773026655	-0.172719582451379	0.262737559754044	inst_1632	0.888931177221686
inst_5224	0.0759140574059359	-0.186771458880338	0.262685516286274	inst_5224	0.888755096340385
inst_1681	0.100949602836243	-0.160710283112951	0.261659885949194	inst_1681	0.885285037534223
inst_1045	0.10672947723271	-0.154125958800268	0.260855436032978	inst_1045	0.882563307867146
inst_1677	0.0999336872477304	-0.15944481655006	0.25937850379779	inst_1677	0.87756634012591
inst_1059	0.1108899688763	-0.146829854663848	0.257719823540148	inst_1059	0.871954456558746
inst_5357	0.110956598409233	-0.146612566908326	0.257569165317559	inst_5357	0.871444728176975
inst_166	0.11863288024899	-0.137393959424459	0.256026839673449	inst_166	0.866226512129899
inst_1654	0.098135798590854	-0.156744119845627	0.254879918436481	inst_1654	0.862346084655758
inst_7407	0.110444628059903	-0.144394812092413	0.254839440152316	inst_7407	0.862209132752769
inst_6965	0.0977377636869046	-0.155732516607294	0.253470280294198	inst_6965	0.857576795885438
inst_1080	0.112986476105499	-0.140451027298248	0.253437503403747	inst_1080	0.857465900435842
inst_952	0.0995353883598945	-0.153261620353053	0.252797008712947	inst_952	0.855298887466591
inst_2806	0.111958522851765	-0.140771304156055	0.252729827007821	inst_2806	0.85507158874203
inst_2955	0.0945087655849487	-0.157361573201851	0.251870338786799	inst_2955	0.85216364563395
inst_1686	0.104737085248316	-0.147031742179776	0.251768827428093	inst_1686	0.851820197930163
inst_1054	0.1084889826325	-0.142968605528758	0.251457588161258	inst_1054	0.850767168861445
inst_1685	0.115844524050252	-0.135185950072664	0.251030474122916	inst_1685	0.849322095742599
inst_6243	0.119276050589872	-0.131331919799884	0.250607970389756	inst_6243	0.847892620865653
inst_987	0.0983245998664242	-0.148838503101524	0.247163102967948	inst_987	0.836237454183331
inst_1683	0.0937000773472787	-0.15303903876517	0.246739116112449	inst_1683	0.834802961395401
inst_991	0.0828912571176655	-0.163750386660312	0.246641643777978	inst_991	0.834473179094352
inst_4957	0.104820504156426	-0.141447109982616	0.246267614139042	inst_4957	0.833207708685148
inst_7202	0.119352077949162	-0.126750829778144	0.246102907727306	inst_7202	0.832650450466652
inst_1001	0.100024972875656	-0.145720435841218	0.245745408716874	inst_1001	0.831440908836988
inst_164	0.102921773654936	-0.142413956274629	0.245335729929565	inst_164	0.830054825145619
inst_973	0.0974813297396327	-0.146738295426887	0.24421962516652	inst_973	0.826278660360327
inst_4647	0.0607482359276789	-0.182938844565743	0.243687080493422	inst_4647	0.824476879284095
inst_7397	0.0716226297546798	-0.17203463273256	0.243657262487239	inst_7397	0.824375994753681
inst_2812	0.111179084028711	-0.13170874441245	0.242887828441161	inst_2812	0.821772735771543
inst_1837	0.103483584162023	-0.138256372841726	0.241739957003748	inst_1837	0.817889093443763
inst_3250	0.108107842697282	-0.133573857804535	0.241681700501816	inst_3250	0.817691991739341
inst_966	0.113726898110139	-0.126896289853685	0.240623187963824	inst_966	0.814110681182211
inst_1652	0.0885548202137741	-0.151673951902405	0.240228772116179	inst_1652	0.812776237244732
inst_6931	0.116125614092516	-0.1239263295851	0.240051943677615	inst_6931	0.812177966056532
inst_7306	0.0647083638014735	-0.175322222942772	0.240030586744245	inst_7306	0.812105708234163
inst_2956	0.0872120925738693	-0.152318235363546	0.239530327937415	inst_2956	0.810413161304492
inst_1840	0.0920585727447197	-0.146941025143418	0.238999597888137	inst_1840	0.808617519722325
inst_2468	0.0959083553539892	-0.143050178672858	0.238958534026847	inst_2468	0.808478586611306
inst_5322	0.0949014680143925	-0.143985502599452	0.238886970613845	inst_5322	0.808236463067852
inst_4956	0.0974460086956292	-0.141111432885214	0.238557441580844	inst_4956	0.807121553454211
inst_1836	0.0971939040840947	-0.14107557920241	0.238269483286504	inst_1836	0.806147291891389
inst_5680	0.0937267925165848	-0.144395533978643	0.238122326495228	inst_5680	0.805649410051322
inst_6967	0.0898758483782151	-0.14740243075938	0.237278279137595	inst_6967	0.802793708674046
inst_4991	0.0861425354596356	-0.150970112827208	0.237112648286844	inst_4991	0.802233322761654
inst_4963	0.100431560857525	-0.136613841037524	0.237045401895049	inst_4963	0.802005805179935
inst_1676	0.0796934091143077	-0.15689764098408	0.236591050098388	inst_1676	0.800468577393177
inst_4431	0.0628185559553445	-0.173755128249706	0.236573684205051	inst_4431	0.800409822626549
inst_2876	0.0962866970600115	-0.139967965095357	0.236254662155368	inst_2876	0.799330461737116
inst_5284	0.110091470416646	-0.125744640686543	0.235836111103189	inst_5284	0.797914360134094
inst_576	0.0732051603570117	-0.162436313091202	0.235641473448214	inst_576	0.797255834265428
inst_7283	0.0697399494734842	-0.165644977073495	0.235384926546979	inst_7283	0.796387848206865
inst_837	0.0719682902555628	-0.163161568124584	0.235129858380147	inst_837	0.795524865213394
inst_1841	0.0948817748164652	-0.140184290335905	0.23506606515237	inst_1841	0.795309030868583
inst_6940	0.0924179604076967	-0.14258444173951	0.235002402147207	inst_6940	0.795093637111489
inst_3087	0.110117288040738	-0.124595758749953	0.234713046790691	inst_3087	0.794114648808699
inst_2750	0.100647552473397	-0.133956216878205	0.234603769351602	inst_2750	0.793744925794359
inst_4950	0.0903725604589096	-0.144166696043426	0.234539256502335	inst_4950	0.793526656723509
inst_1007	0.082752823967625	-0.1517025867229	0.234455410690525	inst_1007	0.793242977616998
inst_4955	0.0963193782651507	-0.137957511942104	0.234276890207254	inst_4955	0.79263898166187
inst_2007	0.0950175153308642	-0.139162219747222	0.234179735078086	inst_2007	0.792310272575032
inst_7450	0.0829800085002812	-0.150676666074319	0.2336566745746	inst_7450	0.790540579693826
inst_6792	0.103026680851401	-0.130555410844103	0.233582091695504	inst_6792	0.790288240262121
inst_865	0.103103816943014	-0.130114939928839	0.233218756871853	inst_865	0.789058954077017
inst_4820	0.0876447093669402	-0.145372125734775	0.233016835101715	inst_4820	0.788375783551254
inst_161	0.112175253622519	-0.120837979974635	0.233013233597154	inst_161	0.788363598427467
inst_1413	0.0935742098302319	-0.139214195555852	0.232788405386084	inst_1413	0.787602927564395
inst_1055	0.0950489294133486	-0.137475652882931	0.232524582296279	inst_1055	0.786710323667116
inst_1835	0.108419818854257	-0.124033048432911	0.232452867287168	inst_1835	0.78646768722209
inst_2808	0.0981902320682346	-0.13423354150527	0.232423773573505	inst_2808	0.786369253221404
inst_1678	0.0916510872176363	-0.140438514603578	0.232089601821214	inst_1678	0.785238635697835
inst_6277	0.0916833988453344	-0.140021865933936	0.23170526477927	inst_6277	0.783938291812991
inst_2093	0.0629641166703184	-0.168707459094016	0.231671575764334	inst_2093	0.783824310333774
inst_5663	0.108470556557228	-0.123116613862694	0.231587170419922	inst_5663	0.783538738136778
inst_6782	0.0954028790082653	-0.136148946304779	0.231551825313044	inst_6782	0.783419153531154
inst_1699	0.0903564046450605	-0.141098077989942	0.231454482635002	inst_1699	0.783089809902223
inst_2754	0.10898696183585	-0.122150850400027	0.231137812235877	inst_2754	0.782018405452288
inst_2509	0.10844600605579	-0.122657975477284	0.231103981533074	inst_2509	0.781903944594478
inst_3085	0.0912510460361499	-0.139485985721812	0.230737031757962	inst_3085	0.780662427790115
inst_2119	0.0719249441014121	-0.157831039880725	0.229755983982137	inst_2119	0.777343207062439
inst_2915	0.0861017235507944	-0.143450464587931	0.229552188138726	inst_2915	0.776653695904741
inst_6900	0.0768498802833075	-0.152561511023383	0.229411391306691	inst_6900	0.776177331985677
inst_6248	0.0967021549004649	-0.132636849476735	0.2293390043772	inst_6248	0.775932422203808
inst_3523	0.0973905720794803	-0.131877545476125	0.229268117555606	inst_3523	0.775692587800885
inst_1585	0.11465749410656	-0.114506556471536	0.229164050578095	inst_1585	0.775340493563142
inst_3417	0.0919118505006455	-0.136815006667221	0.228726857167866	inst_3417	0.773861318476062
inst_1287	0.0736399418179514	-0.154809946004113	0.228449887822064	inst_1287	0.772924236290901
inst_997	0.0937928940817452	-0.134651874576117	0.228444768657863	inst_997	0.772906916404607
inst_4962	0.0857807191449034	-0.142574455646648	0.228355174791552	inst_4962	0.772603789660466
inst_5202	0.109695072212792	-0.118434098825503	0.228129171038295	inst_5202	0.771839141535444
inst_4988	0.0909593966384292	-0.137039392970681	0.22799878960911	inst_4988	0.771398016492486
inst_3099	0.0801766580167946	-0.147811619937968	0.227988277954763	inst_3099	0.771362451964589
inst_5354	0.0923739806922186	-0.135607772260294	0.227981752952513	inst_5354	0.771340375646544
inst_1687	0.0859547373228338	-0.141970597814441	0.227925335137275	inst_1687	0.771149494849133
inst_2758	0.105680669251949	-0.121656238017441	0.227336907269389	inst_2758	0.769158641779632
inst_3405	0.0945430834901838	-0.132705188039933	0.227248271530117	inst_3405	0.768858756707513
inst_2800	0.105010044586878	-0.12214904568445	0.227159090271328	inst_2800	0.768557025955976
inst_1643	0.100167101800106	-0.126962703386934	0.22712980518704	inst_1643	0.768457944482906
inst_2370	0.108698480244766	-0.118121040830006	0.226819521074771	inst_2370	0.767408147029316
inst_1633	0.083648468497483	-0.143166041412929	0.226814509910412	inst_1633	0.767391192543487
inst_3416	0.0766729054858492	-0.14988776473824	0.226560670224089	inst_3416	0.766532365920451
inst_1843	0.0682527698509282	-0.158122681918037	0.226375451768966	inst_1843	0.765905708431852
inst_1798	0.0615267772055194	-0.164809393761146	0.226336170966666	inst_1798	0.765772808020266
inst_1482	0.0872558083054611	-0.138802118832339	0.226057927137801	inst_1482	0.764831413822271
inst_7382	0.0748222728484653	-0.151131695028574	0.225953967877039	inst_7382	0.764479684027193
inst_4460	0.0524078234264581	-0.173318266765597	0.225726090192055	inst_4460	0.763708695749136
inst_3296	0.097814794184963	-0.1275757051114	0.225390499296363	inst_3296	0.762573276777246
inst_3357	0.0841205244831855	-0.141262186793115	0.225382711276301	inst_3357	0.762546927237241
inst_6981	0.092267436795658	-0.132838135420804	0.225105572216462	inst_6981	0.761609270851349
inst_6215	0.0926389149206333	-0.132286012768483	0.224924927689116	inst_6215	0.760998088527428
inst_1829	0.0645172922644802	-0.160221084877097	0.224738377141577	inst_1829	0.760366924113819
inst_1044	0.10700090546473	-0.117682976202178	0.224683881666909	inst_1044	0.760182547253138
inst_1792	0.0646955341845933	-0.159891664127031	0.224587198311624	inst_1792	0.759855434338977
inst_2958	0.0679249018639903	-0.15656003885673	0.22448494072072	inst_2958	0.759509461876008
inst_6767	0.0884291110870593	-0.135581664041608	0.224010775128667	inst_6767	0.757905197231333
inst_7123	0.06948161484223	-0.154516378936852	0.223997993779082	inst_7123	0.75786195354686
inst_6290	0.0692886426212544	-0.153984950356485	0.22327359297774	inst_6290	0.75541105745983
inst_1653	0.104503670695941	-0.118746555249142	0.223250225945082	inst_1653	0.75533199878292
inst_5204	0.0697381543830564	-0.153471689246265	0.223209843629322	inst_5204	0.755195371573923
inst_863	0.0710486231920404	-0.15212633394048	0.22317495713252	inst_863	0.755077338603304
inst_6240	0.0775280020907524	-0.145607340331699	0.223135342422452	inst_6240	0.754943308467341
inst_6268	0.0869740847018698	-0.136083495286504	0.223057579988374	inst_6268	0.754680211511835
inst_4390	0.0986059538925744	-0.124393750919653	0.222999704812227	inst_4390	0.754484399963185
inst_2951	0.10109859534174	-0.121862697479498	0.222961292821238	inst_2951	0.754354439037914
inst_4999	0.0980686938869251	-0.124744828256648	0.222813522143573	inst_4999	0.753854480209878
inst_4524	0.0511099202504679	-0.171691736772849	0.222801657023316	inst_4524	0.753814336443118
inst_3403	0.0964936604269675	-0.126306508802981	0.222800169229949	inst_3403	0.753809302728445
inst_5615	0.096895391105327	-0.125898041510624	0.222793432615951	inst_5615	0.753786510455359
inst_944	0.119368972917893	-0.103146353169123	0.222515326087016	inst_944	0.752845580790066
inst_3076	0.0802683132221609	-0.141726239325258	0.221994552547419	inst_3076	0.751083625491199
inst_3411	0.0739659091209073	-0.147923031046281	0.221888940167189	inst_3411	0.750726302626608
inst_5218	0.0810954275351032	-0.140514673600945	0.221610101136049	inst_5218	0.749782894655404
inst_5089	0.047425285960545	-0.1741356826078	0.221560968568345	inst_5089	0.749616662346289
inst_2088	0.0703495410640134	-0.151203522708556	0.221553063772569	inst_2088	0.749589917714037
inst_1842	0.0952691447714031	-0.126238290554155	0.221507435325558	inst_1842	0.749435541045721
inst_4993	0.0853484719292735	-0.136098654897354	0.221447126826628	inst_4993	0.74923149673245
inst_5090	0.0690497372040411	-0.152315588447366	0.221365325651407	inst_5090	0.748954735332004
inst_1641	0.0635253992096322	-0.157675714026695	0.221201113236327	inst_1641	0.748399148473436
inst_124	0.0838236482045136	-0.137351729079948	0.221175377284461	inst_124	0.748312074931267
inst_6822	0.0974030321189194	-0.123438815750451	0.22084184786937	inst_6822	0.747183630654504
inst_2929	0.0788157154887266	-0.141868932170246	0.220684647658973	inst_2929	0.746651768486724
inst_5298	0.121152500851348	-0.0994628083612232	0.220615309212571	inst_5298	0.746417172767543
inst_2546	0.0869320056703738	-0.133635819706026	0.2205678253764	inst_2546	0.746256518682051
inst_3414	0.084518928964576	-0.135465079415306	0.219984008379882	inst_3414	0.744281265770047
inst_7293	0.0603309829967978	-0.159442049319508	0.219773032316306	inst_7293	0.743567461467625
inst_1805	0.0599461472871696	-0.159819114560818	0.219765261847988	inst_1805	0.743541171311182
inst_2804	0.11246806454934	-0.107243538787368	0.219711603336708	inst_2804	0.743359626184385
inst_4958	0.0933366243324508	-0.126367508189498	0.219704132521949	inst_4958	0.743334349858592
inst_2883	0.112525771426912	-0.107117810268808	0.21964358169572	inst_2883	0.743129485669047
inst_7258	0.0767832507503742	-0.142639184778692	0.219422435529066	inst_7258	0.742381272423688
inst_2928	0.107847607382045	-0.111503269121954	0.219350876503999	inst_2928	0.742139163726123
inst_1023	0.0805720002851026	-0.138551022738334	0.219123023023436	inst_1023	0.741368257339915
inst_7253	0.0663461726296226	-0.152767128284838	0.219113300914461	inst_7253	0.741335364114505
inst_1640	0.0794687588269612	-0.139547225737073	0.219015984564034	inst_1640	0.741006109560917
inst_1642	0.0851051315827682	-0.13388811894375	0.218993250526519	inst_1642	0.740929192523435
inst_1828	0.0583999936643867	-0.160581907678211	0.218981901342597	inst_1828	0.740890794346055
inst_1849	0.0859272829986457	-0.133029194643267	0.218956477641913	inst_1849	0.740804777256608
inst_2919	0.0924032301068342	-0.126534384223225	0.218937614330059	inst_2919	0.740740956210128
inst_7455	0.0876581725451478	-0.130934280800991	0.218592453346138	inst_7455	0.739573158351099
inst_1948	0.0696418002645118	-0.148887831993974	0.218529632258486	inst_1948	0.739360613089379
inst_4645	0.0450792083651214	-0.173442912454811	0.218522120819933	inst_4645	0.739335199319374
inst_7252	0.0589096409555161	-0.159329074124361	0.218238715079877	inst_7252	0.738376340607377
inst_7405	0.101892658872102	-0.116339305297598	0.218231964169701	inst_7405	0.738353499965422
inst_5345	0.105918518733616	-0.112235743017646	0.218154261751262	inst_5345	0.738090606063384
inst_5331	0.0933640786566388	-0.124339970395446	0.217704049052084	inst_5331	0.736567382261447
inst_2445	0.0836811497026221	-0.134008313001207	0.217689462703829	inst_2445	0.73651803164809
inst_2100	0.0656872688491095	-0.15195657036183	0.217643839210939	inst_2100	0.736363671741263
inst_6927	0.0906512218494183	-0.126749987577541	0.217401209426959	inst_6927	0.735542772058308
inst_882	0.101604071687464	-0.115772023034427	0.217376094721891	inst_882	0.735457800406891
inst_3078	0.0862812325935625	-0.130707969467581	0.216989202061144	inst_3078	0.734148809988091
inst_5479	0.0835780375965851	-0.133397115992319	0.216975153588904	inst_5479	0.734101279193567
inst_1288	0.0664224639727991	-0.150550095355155	0.216972559327955	inst_1288	0.734092501919995
inst_3412	0.0899469128404402	-0.126985081860094	0.216931994700534	inst_3412	0.733955257888193
inst_5294	0.10061054193252	-0.116271087048771	0.216881628981292	inst_5294	0.733784853404953
inst_950	0.0947528450863359	-0.122086361896727	0.216839206983063	inst_950	0.733641325251381
inst_1583	0.0774853950914837	-0.139326328550396	0.21681172364188	inst_1583	0.733548339692502
inst_4960	0.100518253165827	-0.116154382108098	0.216672635273925	inst_4960	0.733077756092732
inst_1296	0.0640078561604599	-0.152539132550223	0.216546988710683	inst_1296	0.732652650723401
inst_7014	0.0943236600837885	-0.122164325609672	0.21648798569346	inst_7014	0.732453023301998
inst_7292	0.0773055164712746	-0.139082210689956	0.216387727161231	inst_7292	0.732113814339393
inst_6253	0.103191301202975	-0.113049790057437	0.216241091260412	inst_6253	0.731617694850196
inst_7269	0.0749074340502256	-0.141200465520367	0.216107899570593	inst_7269	0.731167061732733
inst_7406	0.0899484439469815	-0.126152145463926	0.216100589410907	inst_7406	0.731142328958092
inst_3037	0.0846048821179956	-0.131457528004072	0.216062410122068	inst_3037	0.731013155343916
inst_2870	0.0956206657145648	-0.120360211604105	0.215980877318669	inst_2870	0.730737301937288
inst_6255	0.0851278869937778	-0.130801453734492	0.21592934072827	inst_6255	0.730562935995787
inst_1074	0.0753537780053906	-0.140535487987272	0.215889265992662	inst_1074	0.730427349435824
inst_5519	0.0808798054966724	-0.134852919891443	0.215732725388115	inst_5519	0.729897718940613
