	kUp	kDown	score	instance	ConScore
inst_3291	0.16243135771329	-0.185397801876732	0.347829159590022	inst_3291	1
inst_4713	0.139276033319898	-0.203913243225724	0.343189276545622	inst_4713	0.986660454086515
inst_5671	0.14115693578064	-0.191268771801016	0.332425707581656	inst_5671	0.955715466677603
inst_5963	0.126747812023834	-0.195810269723118	0.322558081746953	inst_5963	0.927346293011041
inst_5936	0.10840140067383	-0.202439031950319	0.310840432624149	inst_5936	0.893658349376254
inst_7067	0.0983928488294794	-0.209738527290024	0.308131376119503	inst_7067	0.88586988072734
inst_3691	0.100832326391059	-0.202910849637053	0.303743176028112	inst_3691	0.87325391691176
inst_7051	0.137158078263426	-0.165333488584397	0.302491566847824	inst_7051	0.869655572305564
inst_5968	0.106640282751907	-0.187540185700218	0.294180468452125	inst_5968	0.845761375494996
inst_7080	0.121988222025843	-0.170121070224288	0.292109292250131	inst_7080	0.83980679651595
inst_3232	0.13619216862442	-0.155538521063809	0.291730689688229	inst_3232	0.838718323765855
inst_4983	0.132465091153266	-0.152921354689519	0.285386445842785	inst_4983	0.820478783835039
inst_7062	0.125667318575285	-0.156918800054823	0.282586118630108	inst_7062	0.812427914218538
inst_3887	0.114855421823183	-0.163205390015066	0.278060811838248	inst_3887	0.799417772121211
inst_7085	0.0805486433855741	-0.188807260790387	0.269355904175961	inst_7085	0.774391383670779
inst_3325	0.0959826463407626	-0.166050311856532	0.262032958197294	inst_3325	0.753338099963059
inst_2758	0.137831237173806	-0.123882397858074	0.261713635031881	inst_2758	0.752420053972348
inst_5941	0.0924055511913235	-0.167374797496415	0.259780348687738	inst_5941	0.746861904832636
inst_2321	0.12050509147202	-0.138013748613758	0.258518840085778	inst_2321	0.743235099640548
inst_5779	0.102224947478925	-0.154756740315238	0.256981687794163	inst_5779	0.738815825841231
inst_7056	0.101325976258671	-0.155475180785956	0.256801157044627	inst_7056	0.738296804521255
inst_4610	0.0985104524173116	-0.158232369604267	0.256742822021579	inst_4610	0.738129092811528
