	kUp	kDown	score	instance	ConScore
inst_449	0.301441984743156	-0.0891506016758451	0.390592586419001	inst_449	1
inst_142	0.24316351920355	-0.117864675825902	0.361028195029452	inst_142	0.924308877286691
inst_2554	0.305099125320819	-0.0553032100063469	0.360402335327166	inst_2554	0.922706543489156
inst_6916	0.249384362340428	-0.104231605131394	0.353615967471822	inst_6916	0.905332000061278
inst_381	0.220084497470846	-0.127885127034703	0.347969624505549	inst_381	0.89087616254004
inst_450	0.215381645485312	-0.131806117411736	0.347187762897048	inst_450	0.888874430721039
inst_3139	0.245843332770587	-0.098509113289439	0.344352446060026	inst_3139	0.881615417274274
inst_1631	0.256582532487931	-0.0877007456036312	0.344283278091562	inst_1631	0.881438332580739
inst_2960	0.202510419716361	-0.141064296292497	0.343574716008859	inst_2960	0.879624263119769
inst_6415	0.258453130687569	-0.0835415851930684	0.341994715880638	inst_6415	0.875579127131126
inst_1496	0.223220919356987	-0.115298978721767	0.338519898078755	inst_1496	0.866682855356639
inst_3682	0.234022804771806	-0.102742321180144	0.33676512595195	inst_3682	0.862190265922485
inst_6914	0.24314713544171	-0.0926391675909246	0.335786303032634	inst_6914	0.859684271304693
inst_4793	0.221107414079635	-0.114663644931113	0.335771059010748	inst_4793	0.859645243370175
inst_2134	0.256304008536652	-0.0736785249485514	0.329982533485204	inst_2134	0.844825388291474
inst_4331	0.166536665078154	-0.16330610779518	0.329842772873334	inst_4331	0.844467571433886
inst_704	0.197955021587387	-0.1307309864663	0.328686008053687	inst_704	0.841506007748686
inst_6913	0.257310541383602	-0.0706775184157045	0.327988059799306	inst_6913	0.839719111943059
inst_7173	0.197780498906918	-0.128394163391695	0.326174662298613	inst_7173	0.835076429097185
inst_1618	0.163683753505591	-0.161721299389028	0.325405052894619	inst_1618	0.833106065524619
inst_4241	0.199430272490453	-0.123249947108943	0.322680219599396	inst_4241	0.826129913416345
inst_1441	0.219010292564123	-0.1026894301229	0.321699722687022	inst_1441	0.823619633020697
inst_6905	0.219061580862057	-0.102568902622755	0.321630483484812	inst_6905	0.823442365953635
inst_7170	0.197098791946882	-0.121268616049391	0.318367407996273	inst_7170	0.81508819948454
inst_1301	0.225927801747934	-0.0920676236208257	0.317995425368759	inst_1301	0.814135844932898
inst_6920	0.253881348796755	-0.0624967143434136	0.316378063140169	inst_6920	0.809995054029981
inst_5436	0.255949976813415	-0.0596114270327797	0.315561403846195	inst_5436	0.807904232743635
inst_451	0.203798325864475	-0.108814214551772	0.312612540416247	inst_451	0.800354515896771
inst_1057	0.197610962588748	-0.114807893269052	0.3124188558578	inst_1057	0.799858642280165
inst_4119	0.239471474089793	-0.0721741750597829	0.311645649149576	inst_4119	0.797879068844547
inst_2685	0.218495272572372	-0.092222450170213	0.310717722742585	inst_2685	0.795503380110927
inst_493	0.215606031788772	-0.0917990011603977	0.30740503294917	inst_493	0.787022190481123
inst_3574	0.205184534583628	-0.100913252255082	0.30609778683871	inst_3574	0.783675362722706
inst_2967	0.200391215739239	-0.105640751117123	0.306031966856362	inst_2967	0.783506849584881
inst_1263	0.231038110767052	-0.074730896711779	0.305769007478831	inst_1263	0.782833617714451
inst_2686	0.242697650497318	-0.0622024477340189	0.304900098231337	inst_2686	0.780609025446943
inst_2150	0.190141391864679	-0.114587994691661	0.30472938655634	inst_2150	0.780171967292402
inst_6564	0.223365523863661	-0.0794410857732673	0.302806609636929	inst_6564	0.775249249897689
inst_432	0.16789722964834	-0.133796103371565	0.301693333019905	inst_432	0.77239902524998
inst_3899	0.185429991829489	-0.115223649034177	0.300653640863666	inst_3899	0.769737192454405
inst_5914	0.120374347587918	-0.178762477481232	0.29913682506915	inst_5914	0.765853821783131
inst_1286	0.209910893705715	-0.0881591347664139	0.298070028472129	inst_1286	0.763122595860997
inst_898	0.229356281997309	-0.0686182932536655	0.297974575250974	inst_898	0.762878215336447
inst_2963	0.171629877997961	-0.126171777331855	0.297801655329816	inst_2963	0.762435503602607
inst_505	0.147989534337872	-0.149113994653195	0.297103528991067	inst_505	0.760648151863164
inst_4018	0.206800828306012	-0.08983369769395	0.296634525999962	inst_4018	0.759447404569405
inst_1419	0.162978539409002	-0.133443175771408	0.29642171518041	inst_1419	0.758902563661127
inst_5633	0.200113404125431	-0.0958453273155064	0.295958731440938	inst_5633	0.757717226930296
inst_7341	0.194527253675483	-0.101290862348619	0.295818116024103	inst_7341	0.757357221590399
inst_6741	0.189523082939589	-0.106131836569839	0.295654919509427	inst_6741	0.756939403842829
inst_464	0.172500354387892	-0.122413947852623	0.294914302240515	inst_464	0.755043266295257
inst_2519	0.224621374825566	-0.069819721632763	0.294441096458329	inst_2519	0.753831758963477
inst_1218	0.16650176054206	-0.1267074194934	0.29320918003546	inst_1218	0.750677791208575
inst_2497	0.191397955164055	-0.101663343612363	0.293061298776418	inst_2497	0.750299183769048
inst_4330	0.150608799219848	-0.142428565017534	0.293037364237382	inst_4330	0.750237906264385
inst_611	0.136166869326677	-0.156673569216764	0.292840438543441	inst_611	0.749733734652356
inst_6893	0.223565690693097	-0.0686743898295306	0.292240080522628	inst_6893	0.748196690577052
inst_6948	0.237424928534743	-0.0535629339470833	0.290987862481827	inst_6948	0.744990746367302
inst_4235	0.174142292259242	-0.116419307479757	0.290561599739	inst_4235	0.743899423189013
inst_4538	0.177238823246991	-0.113191350228554	0.290430173475544	inst_4538	0.743562944033942
inst_7347	0.187642512015352	-0.102662183214622	0.290304695229975	inst_7347	0.743241693068274
