	kUp	kDown	score	instance	ConScore
inst_4713	0.0764170092516836	-0.125729601104959	0.202146610356643	inst_4713	1
inst_5963	0.0876084527709224	-0.112131791115281	0.199740243886203	inst_5963	0.988095934598191
inst_5671	0.0851555523330986	-0.113770874572735	0.198926426905834	inst_5671	0.984070059620949
inst_3556	0.0689810274436874	-0.115796093891737	0.184777121335424	inst_3556	0.914074794573237
inst_4128	0.0780175340963637	-0.104971953838952	0.182989487935316	inst_4128	0.90523154265348
inst_4826	0.0640981281017264	-0.118877949377174	0.1829760774789	inst_4826	0.905165202404729
inst_5566	0.0452126950705131	-0.136814178151665	0.182026873222178	inst_5566	0.90046957948507
inst_4199	0.0581341301897616	-0.122095181054224	0.180229311243986	inst_4199	0.891577211836555
inst_6739	0.0364011107146385	-0.142628335672552	0.17902944638719	inst_6739	0.885641594837196
inst_4137	0.0403103537882523	-0.136631691470747	0.176942045258999	inst_4137	0.875315420559486
inst_6031	0.0643686585592314	-0.109687681915081	0.174056340474312	inst_6031	0.86104011423802
inst_3291	0.0950134931451081	-0.0788106377399046	0.173824130885013	inst_3291	0.8598913955487
inst_1145	0.048495313201131	-0.124988913615102	0.173484226816233	inst_1145	0.858209922541656
inst_4739	0.0475990348806438	-0.125247542757289	0.172846577637932	inst_4739	0.855055532877762
inst_5588	0.0377239910083706	-0.134695269575153	0.172419260583523	inst_5588	0.852941636168561
inst_312	0.0557000382455612	-0.116479568191423	0.172179606436984	inst_312	0.851756089964663
inst_5968	0.0643749930259957	-0.106693454066635	0.171068447092631	inst_5968	0.84625929067432
inst_3348	0.0734140334653777	-0.0972817779392319	0.17069581140461	inst_3348	0.844415897468946
inst_4358	0.0535868601329761	-0.115019249367199	0.168606109500175	inst_4358	0.834078341470613
inst_3566	0.0716517360848699	-0.0969048940247949	0.168556630109665	inst_3566	0.833833571645273
inst_1651	0.0519918414017142	-0.115450368833657	0.167442210235371	inst_1651	0.828320642824318
inst_6450	0.0590343066436424	-0.108395174269463	0.167429480913105	inst_6450	0.828257672081236
inst_4204	0.0799983218535741	-0.0872755312797697	0.167273853133344	inst_4204	0.827487796299065
inst_6933	0.0577933846045073	-0.109024732049787	0.166818116654294	inst_6933	0.825233311406909
inst_6817	0.0430034279697795	-0.122629986134841	0.16563341410462	inst_6817	0.819372700894648
inst_4001	0.0741496599633877	-0.0913821196657473	0.165531779629135	inst_4001	0.818869924838666
inst_2442	0.0405623193854709	-0.1237219285822	0.164284247967671	inst_2442	0.812698504703234
inst_1307	0.0374165744636303	-0.125771500727501	0.163188075191131	inst_1307	0.807275842534397
inst_4161	0.0511022873613306	-0.111451081765305	0.162553369126636	inst_4161	0.804136012173773
inst_6908	0.0682855029929624	-0.0940497644156502	0.162335267408613	inst_6908	0.803057083777998
inst_3877	0.0645367655618236	-0.0968571454701722	0.161393911031996	inst_3877	0.798400283572662
inst_5628	0.0608776364720665	-0.100444348687383	0.161321985159449	inst_5628	0.798044473141709
inst_4331	0.0305068893904162	-0.130779994440324	0.16128688383074	inst_4331	0.797870830216671
inst_1698	0.0379505700118645	-0.123020588453613	0.160971158465477	inst_1698	0.796308966949677
inst_3748	0.0309798304243757	-0.129584579067246	0.160564409491622	inst_3748	0.794296818573124
inst_7080	0.076380561704455	-0.0837392669437713	0.160119828648226	inst_7080	0.792097519546484
inst_6467	0.0432167045930683	-0.116573789170032	0.159790493763101	inst_6467	0.790468331282854
inst_1611	0.0585584420096378	-0.100621943534197	0.159180385543835	inst_1611	0.787450184116353
inst_1677	0.0403615655157087	-0.118423221493953	0.158784787009662	inst_1677	0.78549319590134
inst_381	0.0386474100826097	-0.120122070402851	0.158769480485461	inst_381	0.785417475986105
inst_5587	0.0498547384954268	-0.108221514158776	0.158076252654203	inst_5587	0.781988144027309
inst_1688	0.0747482670726183	-0.0832306225411887	0.157978889613807	inst_1688	0.781506498353292
inst_4349	0.0812101540722606	-0.076482231050683	0.157692385122944	inst_4349	0.780089187964767
inst_3713	0.0622817928470519	-0.0952997343734082	0.15758152722046	inst_3713	0.779540784495187
inst_4526	0.0730785503602046	-0.0841377387347972	0.157216289095002	inst_4526	0.777733986326205
inst_1638	0.0606617286087371	-0.0961273050907191	0.156789033699456	inst_1638	0.77562039463752
inst_3538	0.0378457589502483	-0.11872130434163	0.156567063291879	inst_3538	0.77452232820353
inst_1643	0.0460431436633186	-0.110239395726621	0.15628253938994	inst_1643	0.773114815599501
inst_2267	0.0301240926911802	-0.125315284025205	0.155439376716386	inst_2267	0.768943770277164
inst_611	0.0427973628932687	-0.112634054864684	0.155431417757953	inst_611	0.768904398068952
inst_1644	0.054104044980951	-0.101063059357302	0.155167104338253	inst_1644	0.767596864792813
inst_1057	0.0530514515113868	-0.102012181517672	0.155063633029059	inst_1057	0.767085002095677
inst_4742	0.0353737089321292	-0.119502508979174	0.154876217911303	inst_4742	0.766157877384433
inst_5936	0.0601072678601874	-0.0933339614731907	0.153441229333378	inst_5936	0.75905912576355
inst_4242	0.0338321433550249	-0.119548130649404	0.153380274004429	inst_4242	0.758757585565365
inst_831	0.0508303438304706	-0.102332171274597	0.153162515105068	inst_831	0.757680353060814
inst_4834	0.0618575297538431	-0.0912968316015886	0.153154361355432	inst_4834	0.757640017239097
inst_4699	0.0499965330976132	-0.102650778556666	0.15264731165428	inst_4699	0.755131690731631
inst_4143	0.0407357863214791	-0.111114289621676	0.151850075943155	inst_4143	0.751187841711764
inst_5571	0.051099071401281	-0.100477421739694	0.151576493140975	inst_5571	0.749834453684639
inst_1631	0.062142970571578	-0.0891323013548466	0.151275271926425	inst_1631	0.748344341067768
inst_3858	0.0514150151128195	-0.0994218490154546	0.150836864128274	inst_3858	0.746175579507151
inst_6095	0.060891572298948	-0.0899019144724487	0.150793486771397	inst_6095	0.745960995860159
inst_4823	0.0524406140086343	-0.0980357584565456	0.15047637246518	inst_4823	0.74439226163475
inst_1653	0.0603147947367207	-0.0901035431129038	0.150418337849625	inst_1653	0.744105169927138
inst_4160	0.0532590758412549	-0.096826305646474	0.150085381487729	inst_4160	0.742458066563356
inst_1008	0.0291833269233402	-0.120321359470474	0.149504686393814	inst_1008	0.739585423322441
inst_4158	0.0404138979565156	-0.10840825460848	0.148822152564996	inst_4158	0.736208993573684
inst_5222	0.0503960917704411	-0.0976510050698544	0.148047096840295	inst_5222	0.732374866831056
inst_2221	0.0382015610757347	-0.109732665519992	0.147934226595727	inst_2221	0.731816508497126
inst_4360	0.062417009349137	-0.0855122377737646	0.147929247122902	inst_4360	0.731791875520017
inst_5583	0.0307532026942143	-0.117082858949494	0.147836061643708	inst_5583	0.731330895842795
inst_4119	0.0437349614277265	-0.103902981743037	0.147637943170764	inst_4119	0.730350822654356
inst_4949	0.0505288719391552	-0.0969615754938679	0.147490447433023	inst_4949	0.729621175308402
inst_6092	0.0486144986296355	-0.0988428047394641	0.1474573033691	inst_6092	0.729457214785566
inst_1218	0.0304692236765021	-0.116583253805581	0.147052477482083	inst_1218	0.727454579736172
inst_1263	0.0535718035927439	-0.0932958902425563	0.1468676938353	inst_1263	0.726540472660832
inst_3333	0.0486116724829253	-0.0980417137328459	0.146653386215771	inst_3333	0.725480313308415
inst_4245	0.0509885105929095	-0.0951534047271708	0.14614191532008	inst_4245	0.722950115573274
inst_4354	0.0695249145054074	-0.0764226782876793	0.145947592793087	inst_4354	0.721988820567383
inst_7173	0.0476893741220368	-0.0980055566981651	0.145694930820202	inst_7173	0.720738925887284
inst_4523	0.0374321669972041	-0.108253842801549	0.145686009798753	inst_4523	0.720694794445095
inst_5632	0.0511544736221353	-0.0944705684928026	0.145625042114938	inst_5632	0.720393193128566
inst_3325	0.0581778380104356	-0.0873358284523109	0.145513666462747	inst_3325	0.719842228400566
inst_4389	0.0450278260943291	-0.100320138638832	0.145347964733161	inst_4389	0.719022517749505
inst_6608	0.0569836448453545	-0.088356201239846	0.1453398460852	inst_6608	0.718982355572427
inst_3627	0.0412056575753913	-0.103868313527431	0.145073971102823	inst_3627	0.717667097394668
inst_5099	0.0692808426283106	-0.0757875906079338	0.145068433236244	inst_5099	0.717639702096926
inst_6834	0.0581141035294529	-0.0869171512595516	0.145031254789004	inst_6834	0.717455783864637
inst_7341	0.0628408826290064	-0.0821484637620373	0.144989346391044	inst_7341	0.717248467017292
inst_3679	0.0470966629395639	-0.0978282808840097	0.144924943823574	inst_3679	0.716929873658954
inst_3715	0.0474742946120537	-0.0973103845343176	0.144784679146371	inst_3715	0.716235997679758
inst_4013	0.0687480652467618	-0.0760230367102374	0.144771101956999	inst_4013	0.716168832618973
inst_5481	0.0529456171897547	-0.0915697108692087	0.144515328058963	inst_5481	0.714903543541978
inst_3564	0.0524931900827784	-0.0919544642558999	0.144447654338678	inst_3564	0.714568768102679
inst_1223	0.0438636972830448	-0.100476783674376	0.144340480957421	inst_1223	0.71403859160816
inst_5585	0.0221275105745395	-0.122194400211157	0.144321910785697	inst_5585	0.713946726739928
inst_3250	0.0536664795075371	-0.0904293818019092	0.144095861309446	inst_3250	0.712828481542289
inst_7170	0.0555791961103645	-0.0881790317699102	0.143758227880275	inst_7170	0.711158241172807
inst_3337	0.0712521774120419	-0.0723343811074815	0.143586558519523	inst_3337	0.710309009219581
inst_3223	0.0551125408165021	-0.0882840998589238	0.143396640675426	inst_3223	0.709369503759843
inst_2322	0.0529060998624787	-0.0903397336247449	0.143245833487224	inst_2322	0.708623474984311
inst_4018	0.044590601707587	-0.0984734712646221	0.143064072972209	inst_4018	0.707724323053473
inst_4206	0.0454487757741535	-0.09755529527217	0.143004071046323	inst_4206	0.707427499249306
inst_4010	0.0680947868166883	-0.0744942322085589	0.142589019025247	inst_4010	0.705374276490121
inst_2150	0.045227605430743	-0.0971957454655356	0.142423350896279	inst_2150	0.704554732058106
inst_4534	0.0422331080845679	-0.0992238360784675	0.141456944163035	inst_4534	0.699774010127927
inst_6626	0.0468223318020003	-0.0945390541702567	0.141361385972257	inst_6626	0.699301292872813
inst_5582	0.0306997495400567	-0.110594798108689	0.141294547648746	inst_5582	0.698970650061672
inst_1795	0.0517638493248652	-0.0894040108360506	0.141167860160916	inst_1795	0.698343939143261
inst_2767	0.050262726881718	-0.0909010184160539	0.141163745297772	inst_2767	0.698323583307778
inst_1700	0.0415967378080884	-0.0995152192403067	0.141111957048395	inst_1700	0.698067391777851
inst_1401	0.0466352701257826	-0.0944015510942501	0.141036821220033	inst_1401	0.697695702001655
inst_5586	0.0464733514099525	-0.0944352622118789	0.140908613621831	inst_5586	0.697061471242231
inst_3383	0.0481614868026502	-0.0926593137437355	0.140820800546386	inst_3383	0.696627068333913
inst_2264	0.0455487628956953	-0.0948384131485694	0.140387176044265	inst_2264	0.694481969282507
inst_3251	0.0619203871548124	-0.0779925316581425	0.139912918812955	inst_3251	0.692135863995492
inst_4825	0.0566323255732705	-0.0832785837842506	0.139910909357521	inst_4825	0.692125923411129
inst_4983	0.0660775027855818	-0.0737027121817091	0.139780214967291	inst_4983	0.691479390728738
inst_4718	0.0387924206448458	-0.100832186056444	0.139624606701289	inst_4718	0.690709611479277
inst_3176	0.0361083608967909	-0.103415925217043	0.139524286113834	inst_3176	0.690213335102056
inst_4062	0.045785818132684	-0.093716587975489	0.139502406108173	inst_4062	0.69010509680104
inst_7366	0.0714660387553397	-0.0679797980012816	0.139445836756621	inst_7366	0.689825253614692
inst_5835	0.0496802970260701	-0.089718683381993	0.139398980408063	inst_5835	0.689593459727693
inst_3246	0.046378772948494	-0.0926512315830421	0.139030004531536	inst_3246	0.687768171260694
inst_3232	0.0586470270910038	-0.0802334170545926	0.138880444145596	inst_3232	0.687028310297031
inst_415	0.025089166146875	-0.113701644485744	0.138790810632619	inst_415	0.686584901857881
inst_5599	0.0408711490035665	-0.0976200589019364	0.138491207905503	inst_5599	0.68510279574397
inst_6177	0.0437441707678684	-0.0946566708771889	0.138400841645057	inst_6177	0.684655762472989
inst_4707	0.0419920572608509	-0.0963745554014037	0.138366612662255	inst_4707	0.684486434959941
inst_1290	0.0354153702327716	-0.102911428239027	0.138326798471799	inst_1290	0.684289477957368
inst_4495	0.0341928668739206	-0.103924888652285	0.138117755526205	inst_4495	0.68325536244475
inst_6905	0.0672671156439256	-0.0708033433771904	0.138070459021116	inst_6905	0.683021391145375
inst_6070	0.0320678481811529	-0.105802395850193	0.137870244031346	inst_6070	0.682030946688173
inst_4064	0.0348133035301545	-0.103055418312432	0.137868721842587	inst_4064	0.682023416565571
inst_5608	0.053381477229809	-0.0843820114073318	0.137763488637141	inst_5608	0.681502837935733
inst_7336	0.0615135194818719	-0.0762076502755484	0.13772116975742	inst_7336	0.681293490474275
inst_1686	0.0529183302560007	-0.0847160386012502	0.137634368857251	inst_1686	0.680864094700503
inst_1228	0.0363131103532815	-0.101308820848912	0.137621931202193	inst_1228	0.68080256680728
inst_2645	0.0443984237312903	-0.0932029453945827	0.137601369125873	inst_2645	0.680700848177004
inst_3244	0.0519967627951234	-0.0851817199390946	0.137178482734218	inst_3244	0.678608869533836
inst_2218	0.0543334501311552	-0.0828443803354225	0.137177830466578	inst_2218	0.678605642828035
inst_3901	0.0350459246404082	-0.10209162064975	0.137137545290159	inst_3901	0.678406355902827
inst_493	0.0617455558721164	-0.0753123382903209	0.137057894162437	inst_493	0.678012329371387
inst_3855	0.0348426369839401	-0.102119482835299	0.136962119819239	inst_3855	0.677538542830867
inst_4489	0.0354875344272177	-0.101341893901223	0.136829428328441	inst_4489	0.676882130682457
inst_1413	0.0597913728753163	-0.0766722681711964	0.136463641046513	inst_1413	0.6750726158888
inst_7222	0.0594747957171013	-0.0769751365087575	0.136449932225859	inst_7222	0.67500479966062
inst_4667	0.0452405179976089	-0.0911747484374312	0.13641526643504	inst_4667	0.674833311299981
inst_6907	0.0453916193932721	-0.0906273947388962	0.136019014132168	inst_6907	0.672873088953572
inst_4185	0.0384969908602902	-0.0974847890545425	0.135981779914833	inst_4185	0.67268889483194
inst_5578	0.029426326813754	-0.106546167322421	0.135972494136175	inst_5578	0.672642958970627
inst_6778	0.0557232321392522	-0.0800642234011306	0.135787455540383	inst_6778	0.671727590686859
inst_4103	0.0624613018898199	-0.073315831910625	0.135777133800445	inst_4103	0.671676530023909
inst_4800	0.0641006618884322	-0.0712138320650367	0.135314493953469	inst_4800	0.669387894829088
inst_6944	0.0450187142075219	-0.090232964028217	0.135251678235739	inst_6944	0.669077151465055
inst_1154	0.058195135977369	-0.0769400429162733	0.135135178893642	inst_1154	0.668500840331809
inst_4186	0.0458778140807693	-0.089195576165538	0.135073390246307	inst_4186	0.668195177787055
inst_3674	0.0599931987317618	-0.0749371558833982	0.13493035461516	inst_3674	0.667487594162996
inst_2257	0.0411642886347534	-0.0937010617194202	0.134865350354174	inst_2257	0.667166024284225
inst_3525	0.0534526668909068	-0.0812913293516639	0.134743996242571	inst_3525	0.666565697069295
inst_2271	0.0270216170500067	-0.107527724469784	0.13454934151979	inst_2271	0.665602758722533
inst_3991	0.0307239666937635	-0.103819076153734	0.134543042847497	inst_3991	0.665571599791488
inst_6660	0.0402703979209695	-0.0941718475798076	0.134442245500777	inst_6660	0.665072964931659
inst_4533	0.033348774814238	-0.10106975904314	0.134418533857378	inst_4533	0.664955665693462
inst_2217	0.0465629597513342	-0.0878110807699237	0.134374040521258	inst_2217	0.664735561403601
inst_3623	0.0326861408640203	-0.10158542216422	0.13427156302824	inst_3623	0.664228615020296
inst_3173	0.0549555434940812	-0.0788996478517511	0.133855191345832	inst_3173	0.662168864022378
inst_6445	0.0498765193157625	-0.0839178188885625	0.133794338204325	inst_6445	0.661867829335722
inst_5486	0.055927640509071	-0.0777997295879184	0.133727370096989	inst_5486	0.661536544496379
inst_3552	0.075404956369411	-0.0583165114501885	0.133721467819599	inst_3552	0.661507346493111
inst_4793	0.0487650153052899	-0.0849043742142491	0.133669389519539	inst_4793	0.661249720110118
inst_5563	0.0394160732611292	-0.0941932227679572	0.133609296029086	inst_5563	0.660952443344771
inst_2758	0.085754841615673	-0.0478025774861205	0.133557419101794	inst_2758	0.660695813133652
inst_2231	0.0344560396046454	-0.0990995196856975	0.133555559290343	inst_2231	0.660686612823801
inst_4399	0.0484123316865182	-0.0851413091356278	0.133553640822146	inst_4399	0.660677122344621
inst_1441	0.0539902682125299	-0.0795156999161795	0.133505968128709	inst_1441	0.660441290077375
inst_998	0.0452563054378522	-0.0882097652493889	0.133466070687241	inst_998	0.660243921239985
inst_4757	0.054784756524781	-0.0783330458494595	0.133117802374241	inst_4757	0.658521071114593
inst_1007	0.047600447953999	-0.0854994764674066	0.133099924421406	inst_1007	0.658432630587179
